city,n_candidates,n_true_wh,mean_score,median_score,n_core,n_secondary,known_wh_density,model_opportunity_score
Johnstown,1,1,0.9940226069226232,0.9940226069226232,1,0,1.0,0.994
Joliet,9,8,0.8857990228421105,0.9949252940363486,8,0,0.8889,7.086
Joplin,1,1,0.8624398568557827,0.8624398568557827,1,0,1.0,0.862
Kalamazoo,1,1,0.9920366435939796,0.9920366435939796,1,0,1.0,0.992
Kankakee,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Kansas City,11,11,0.9198544822787285,0.9908001650421996,11,0,1.0,10.118
Kennewick,2,2,0.9916505545561058,0.9916505545561058,2,0,1.0,1.983
Kingsport,1,1,0.9995015918674344,0.9995015918674344,1,0,1.0,1.0
Knoxville,7,6,0.9366313051969348,0.9970106816805906,7,0,0.8571,6.556
Kokomo,1,1,0.9995015918674344,0.9995015918674344,1,0,1.0,1.0
Lafayette,1,1,0.9843162921316416,0.9843162921316416,1,0,1.0,0.984
Lakeville,2,2,0.968313622842084,0.968313622842084,2,0,1.0,1.937
Lancaster,14,5,0.4397065076575219,0.35457498509197044,9,0,0.3571,3.957
Laredo,3,3,0.9473704030959779,0.9991586140145687,3,0,1.0,2.842
Las Vegas,6,6,0.9904746934393787,0.9993501268406262,6,0,1.0,5.943
Lawrence,3,3,0.9919764943327852,0.9920924374185317,3,0,1.0,2.976
Lexington,1,1,0.9891686034770701,0.9891686034770701,1,0,1.0,0.989
Lima,3,3,0.9731902963349414,0.9751139175638701,3,0,1.0,2.92
Little Rock,2,2,0.9958564690995684,0.9958564690995684,2,0,1.0,1.992
Logan,1,1,0.9995015918674344,0.9995015918674344,1,0,1.0,1.0
Long Beach,15,12,0.8582946774281639,0.9793884996574763,13,0,0.8,11.158
Los Angeles,15,12,0.745302524223048,0.958101654603345,14,0,0.8,10.434
Louisville,4,4,0.9146717125605649,0.9902906640242,4,0,1.0,3.659
Lowell,1,1,0.790715915982233,0.790715915982233,1,0,1.0,0.791
Lubbock,1,1,0.9990349938272444,0.9990349938272444,1,0,1.0,0.999
Lynchburg,1,1,0.9538455048900003,0.9538455048900003,1,0,1.0,0.954
Macon,2,2,0.9682460032495264,0.9682460032495264,2,0,1.0,1.936
Madison,5,5,0.9903190890423101,0.9987401552657735,5,0,1.0,4.952
Manchester,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Mansfield,1,1,0.9950748001242995,0.9950748001242995,1,0,1.0,0.995
