source,id,lat,lon,score,tier,osm_category,area_sqm,maps_link,model_version,scored_date,rank,score_adjusted,tier_adjusted
known_osm,neg_1133,43.69560915,-79.63035622670907,0.04139346406701786,Deprioritized,retail_large,,"https://www.google.com/maps/@43.69560915,-79.63035622670907,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1104,0.0014,Deprioritized
known_osm,neg_605,33.983665450000004,-118.23420169537712,0.04134099041166258,Deprioritized,school,,"https://www.google.com/maps/@33.983665450000004,-118.23420169537712,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1105,0.0014,Deprioritized
known_osm,neg_1467,43.6840109,-79.70416184482363,0.04117657963653946,Deprioritized,factory,,"https://www.google.com/maps/@43.6840109,-79.70416184482363,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1106,0.0014,Deprioritized
known_osm,neg_573,35.408930350000006,-80.66899955129159,0.040815091751632435,Deprioritized,school,,"https://www.google.com/maps/@35.408930350000006,-80.66899955129159,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1107,0.0013,Deprioritized
known_osm,neg_244,40.05498675,-76.39875119999999,0.04033544515915032,Deprioritized,restaurant,,"https://www.google.com/maps/@40.05498675,-76.39875119999999,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1108,0.0013,Deprioritized
known_osm,neg_937,43.6084142,-79.583168,0.0396623002226326,Deprioritized,hospital,,"https://www.google.com/maps/@43.6084142,-79.583168,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1109,0.0013,Deprioritized
known_osm,neg_963,43.6428536,-79.70084303000942,0.039538864410574144,Deprioritized,hotel,,"https://www.google.com/maps/@43.6428536,-79.70084303000942,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1110,0.0013,Deprioritized
known_osm,neg_108,40.4951538,-74.87198796366319,0.03847708375710205,Deprioritized,parking,,"https://www.google.com/maps/@40.4951538,-74.87198796366319,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1111,0.0013,Deprioritized
known_osm,neg_644,40.5098004,-74.87390344261195,0.03829534532384311,Deprioritized,park,,"https://www.google.com/maps/@40.5098004,-74.87390344261195,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1112,0.0013,Deprioritized
overture_discovery,ov_61,32.942614081415506,-97.2286509682261,0.03683776614477138,Deprioritized,warehouse,49523.0,"https://www.google.com/maps/@32.942614081415506,-97.2286509682261,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1113,0.0012,Deprioritized
known_osm,neg_1019,47.2706788,-122.38031733797573,0.03666888118416036,Deprioritized,industrial,,"https://www.google.com/maps/@47.2706788,-122.38031733797573,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1114,0.0012,Deprioritized
known_osm,neg_511,35.396204,-80.661271,0.03561802738302613,Deprioritized,supermarket,,"https://www.google.com/maps/@35.396204,-80.661271,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1115,0.0012,Deprioritized
known_osm,neg_218,29.3809972,-98.6390572,0.03311859448621291,Deprioritized,restaurant,,"https://www.google.com/maps/@29.3809972,-98.6390572,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1116,0.0011,Deprioritized
