category,density_type,n_pos_available,n_seed_used,search_dist,exclusion_buffer,n_candidates_kept,strategy_name,category_total_final_kept,category_seconds
hotel,small_cluster,1138,15,3000,1200,30,density_v2,97,69.73653817176819
hotel,dense_cluster,997,15,1800,1600,27,density_v2,97,69.73653817176819
supermarket,isolated,2070,20,5000,800,40,density_v2,81,59.98664593696594
supermarket,small_cluster,1138,15,3000,1200,30,density_v2,81,59.98664593696594
supermarket,dense_cluster,997,15,1800,1600,11,density_v2,81,59.98664593696594
school,isolated,2070,20,5000,800,40,density_v2,100,52.151642084121704
school,small_cluster,1138,15,3000,1200,30,density_v2,100,52.151642084121704
school,dense_cluster,997,15,1800,1600,30,density_v2,100,52.151642084121704
park,isolated,2070,20,5000,800,40,density_v2,100,31.57880926132202
park,small_cluster,1138,15,3000,1200,30,density_v2,100,31.57880926132202
park,dense_cluster,997,15,1800,1600,30,density_v2,100,31.57880926132202
playground,isolated,2070,20,5000,800,40,density_v2,100,21.501527547836304
playground,small_cluster,1138,15,3000,1200,30,density_v2,100,21.501527547836304
playground,dense_cluster,997,15,1800,1600,30,density_v2,100,21.501527547836304
sports_centre,isolated,2070,20,5000,800,40,density_v2,84,65.67103838920593
sports_centre,small_cluster,1138,15,3000,1200,30,density_v2,84,65.67103838920593
sports_centre,dense_cluster,997,15,1800,1600,14,density_v2,84,65.67103838920593
