pos_id,lat,lon,source_file
0000086,34.0381283,-117.6230832,warehouses_cleaned_0.kml
0000087,29.9212965,-95.6223342,warehouses_cleaned_0.kml
0000088,37.0763587,-80.7225227,warehouses_cleaned_0.kml
0000089,40.16691670000001,-74.75645519999999,warehouses_cleaned_0.kml
0000090,40.6007606,-79.7582279,warehouses_cleaned_0.kml
0000091,40.454198,-74.33312800000002,warehouses_cleaned_0.kml
0000092,32.4711117,-97.2761874,warehouses_cleaned_0.kml
0000093,34.0367197,-117.3843266,warehouses_cleaned_0.kml
0000094,28.4192057,-81.37649549999999,warehouses_cleaned_0.kml
0000095,40.153082,-82.6707907,warehouses_cleaned_0.kml
0000096,34.4478227,-118.6313712,warehouses_cleaned_0.kml
0000097,34.0399838,-117.9836669,warehouses_cleaned_0.kml
0000098,45.2341158,-74.0567062,warehouses_cleaned_0.kml
0000099,51.015754,-114.024915,warehouses_cleaned_0.kml
0000100,33.8791216,-118.0109541,warehouses_cleaned_0.kml
0000101,41.8111978,-88.18853589999999,warehouses_cleaned_0.kml
0000102,42.530207,-113.8412288,warehouses_cleaned_0.kml
0000103,46.1756236,-94.1028554,warehouses_cleaned_0.kml
0000104,43.22963379999999,-88.1464809,warehouses_cleaned_0.kml
0000105,45.3992766,-122.5354323,warehouses_cleaned_0.kml
0000106,35.325314,-80.84194389999999,warehouses_cleaned_0.kml
0000107,33.8173448,-118.3017185,warehouses_cleaned_0.kml
0000108,35.8008508,-86.38803399999999,warehouses_cleaned_0.kml
0000109,42.4853825,-92.45872059999999,warehouses_cleaned_0.kml
0000110,39.9878656,-74.80889049999999,warehouses_cleaned_0.kml
0000111,31.5303866,-91.4275711,warehouses_cleaned_0.kml
0000112,45.96144510000001,-73.46883,warehouses_cleaned_0.kml
0000113,41.11651940000001,-74.1200348,warehouses_cleaned_0.kml
0000114,33.4352107,-88.84201039999999,warehouses_cleaned_0.kml
0000115,32.4581913,-96.83240959999999,warehouses_cleaned_0.kml
0000116,34.1256409,-117.4024847,warehouses_cleaned_0.kml
0000117,33.0346377,-97.26468969999999,warehouses_cleaned_0.kml
0000118,36.07854,-79.93364439999999,warehouses_cleaned_0.kml
0000119,38.1453126,-97.4356671,warehouses_cleaned_0.kml
0000120,34.083084,-117.2834764,warehouses_cleaned_0.kml
0000121,37.6297016,-122.1106097,warehouses_cleaned_0.kml
0000122,34.060028,-117.5105073,warehouses_cleaned_0.kml
0000123,33.8238661,-81.6980136,warehouses_cleaned_0.kml
0000124,29.7689638,-96.1492591,warehouses_cleaned_0.kml
0000125,34.0019152,-83.76039360000001,warehouses_cleaned_0.kml
0000126,44.0293676,-116.9584536,warehouses_cleaned_0.kml
0000127,40.8953418,-74.7294924,warehouses_cleaned_0.kml
0000128,36.2929227,-78.6087635,warehouses_cleaned_0.kml
0000129,35.3347259,-79.9303758,warehouses_cleaned_0.kml
0000130,39.1674805,-94.43399699999999,warehouses_cleaned_0.kml
0000131,49.1611304,-123.0144975,warehouses_cleaned_0.kml
0000132,41.057828,-76.2462333,warehouses_cleaned_0.kml
0000133,35.7703828,-80.31107569999999,warehouses_cleaned_0.kml
0000134,33.6835284,-117.3344067,warehouses_cleaned_0.kml
0000135,42.374432,-96.372672,warehouses_cleaned_0.kml
0000136,44.9101554,-123.0140978,warehouses_cleaned_0.kml
0000137,33.42389650000001,-112.1581052,warehouses_cleaned_0.kml
0000138,43.66459200000001,-116.409689,warehouses_cleaned_0.kml
0000139,40.5258185,-79.6435571,warehouses_cleaned_0.kml
0000140,32.131393,-110.911662,warehouses_cleaned_0.kml
0000141,29.4232747,-98.5972939,warehouses_cleaned_0.kml
0000142,43.5908091,-79.748786,warehouses_cleaned_0.kml
0000143,45.4871462,-73.6661398,warehouses_cleaned_0.kml
0000144,43.6418536,-70.2799405,warehouses_cleaned_0.kml
0000145,35.1309023,-80.9688266,warehouses_cleaned_0.kml
0000146,38.5512338,-76.0620955,warehouses_cleaned_0.kml
0000147,36.2184304,-115.1950065,warehouses_cleaned_0.kml
0000148,41.6842422,-88.0780334,warehouses_cleaned_0.kml
0000149,36.1944004,-94.11956280000001,warehouses_cleaned_0.kml
0000150,32.8092345,-96.6159045,warehouses_cleaned_0.kml
0000151,37.9175762,-122.3405239,warehouses_cleaned_0.kml
0000152,32.9509001,-96.8622271,warehouses_cleaned_0.kml
0000153,33.9119276,-84.2349552,warehouses_cleaned_0.kml
0000154,40.0992308,-82.7263373,warehouses_cleaned_0.kml
0000155,39.85858090000001,-82.83377349999999,warehouses_cleaned_0.kml
0000156,1.2872647,103.6357421,warehouses_cleaned_0.kml
0000157,33.0666482,-80.19103009999999,warehouses_cleaned_0.kml
0000158,38.6973571,-121.75975,warehouses_cleaned_0.kml
0000159,25.7972638,-80.3085978,warehouses_cleaned_0.kml
0000160,35.4161624,-80.7112233,warehouses_cleaned_0.kml
0000161,41.4969494,-81.65089909999999,warehouses_cleaned_0.kml
0000162,40.0878558,-76.3584359,warehouses_cleaned_0.kml
0000163,29.45548149999999,-98.40886599999999,warehouses_cleaned_0.kml
0000164,36.0422649,-86.65878769999999,warehouses_cleaned_0.kml
0000165,21.4254191,-158.0000991,warehouses_cleaned_0.kml
0000166,42.0079872,-88.3032666,warehouses_cleaned_0.kml
0000167,42.9170068,-76.78608059999999,warehouses_cleaned_0.kml
0000168,38.3846756,-121.3535824,warehouses_cleaned_0.kml
0000169,39.896042,-83.052595,warehouses_cleaned_0.kml
0000170,33.8764798,-117.9709993,warehouses_cleaned_0.kml
0000171,40.3723154,-79.9453583,warehouses_cleaned_0.kml
