landuse,lat,lon,city_found,sample_method,name,wikipedia,crop,source,operator,produce,addr:housenumber,addr:street,building,website,access,type,natural,water,irrigated,managed,massgis:IT_VALC,massgis:IT_VALDESC,massgis:OBJECTID,massgis:PALIS_ID,massgis:POLY_CODE,massgis:SOURCE,massgis:SOURCE_SCA,massgis:WETCODE,seasonal,LandPro08:DE3,LandPro08:LC_NAME,LandPro08:LU_NAME,LandPro08:reviewed,addr:city,addr:postcode,addr:state,amenity,email,fax,operator:type,phone,note,plat,CLC:code,CLC:id,CLC:year,agricultural,massgis:ALT_SITE_N,massgis:ARTICLE97,massgis:ASSESS_ACR,massgis:ASSESS_LOT,massgis:ASSESS_MAP,massgis:ATT_DATE,massgis:CAL_DATE_R,massgis:COMMENTS,massgis:DCAM_ID,massgis:DEED_ACRES,massgis:EOEAINVOLV,massgis:FEESYM,massgis:FEE_OWNER,massgis:FY_FUNDING,massgis:INTSYM,massgis:LEV_PROT,massgis:OLI_1_ABRV,massgis:OLI_1_INT,massgis:OLI_1_ORG,massgis:OLI_1_TYPE,massgis:OS_DEED_BO,massgis:OS_DEED_PA,massgis:OS_ID,massgis:OWNER_TYPE,massgis:POLY_ID,massgis:PRIM_PURP,massgis:PROJ_ID1,massgis:PUB_ACCESS,massgis:SITE_NAME,massgis:SOURCE_TYP,massgis:TOWN_ID,owner,ownership,protected,start_date,massgis:BASE_MAP,massgis:OWNER_ABRV,massgis:SOURCE_MAP,area,massgis:OLI_2_ABRV,massgis:OLI_2_INT,massgis:OLI_2_ORG,massgis:OLI_2_TYPE,massgis:PROJ_ID2,zoning,created_by,massgis:ASSESS_BLK,massgis:ASSESS_SUB,massgis:LOC_ID,leisure,CLC:explanation,CLC:shapeId,source:ro,fixme,ele,gnis:feature_id,place,wikidata,NHD:Elevation,NHD:FCode,NHD:FDate,NHD:FTYPE,NHD:ReachCode,FMMP_modified,FMMP_reviewed,acres,addr:county,attribution,description,opening_hours,shop,wheelchair,name:fr,sport,surface
farmland,30.4272167,-87.8630117,STATE_WIDE,fallback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,34.627911,-86.7251883,STATE_WIDE,fallback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,34.6281835,-86.7235698,STATE_WIDE,fallback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,34.6269996,-86.719908,STATE_WIDE,fallback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,34.6321368,-86.7244596,STATE_WIDE,fallback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,34.6344972,-86.7243965,STATE_WIDE,fallback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,32.9419483,-111.8908,Casa Grande,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,32.9419381,-111.8822059,Casa Grande,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,32.9049741,-111.694912,Casa Grande,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,32.90713,-111.6918067,Casa Grande,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,32.8975388,-111.7096792,Casa Grande,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,33.0274689,-96.6341885,Parker,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,33.066872,-96.5997092,Parker,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,33.0517144,-96.6233674,Parker,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,33.0593997,-96.625128,Parker,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,43.9624338,-111.7594343,Parker,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,33.4187304,-111.9451749,Tempe,city,Ellertson-Wilson Community Garden,,various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,33.0803272,-112.0521891,Maricopa,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,33.0312715,-111.9685635,Maricopa,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,33.0313756,-111.9641666,Maricopa,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,33.0087258,-111.9671359,Maricopa,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
